strategy;nFotogramas;width;height;ns;nProcs;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;2;64;64;1;2;0,0090869;0,0090518;0,0090869;;;
cols;2;64;64;2;2;0,0175959;0,0175959;0,017588;;;
cols;2;64;64;5;2;0,0457895;0,0457895;0,0429875;;;
cols;2;64;64;10;2;0,0846533;0,0846533;0,0843566;;;
cols;2;64;256;1;2;0,0378383;0,0378383;0,0378042;;;
cols;2;64;256;2;2;0,0750963;0,0747598;0,0750963;;;
cols;2;64;256;5;2;0,186177;0,185992;0,186177;;;
cols;2;64;256;10;2;0,370606;0,370575;0,370606;;;
cols;2;64;512;1;2;0,0765776;0,0765449;0,0765776;;;
cols;2;64;512;2;2;0,15254;0,15254;0,152506;;;
cols;2;64;512;5;2;0,382771;0,379759;0,382771;;;
cols;2;64;512;10;2;0,73111;0,729576;0,73111;;;
cols;2;64;1024;1;2;0,154246;0,154012;0,154246;;;
cols;2;64;1024;2;2;0,303229;0,300147;0,303229;;;
cols;2;64;1024;5;2;0,753183;0,753183;0,746114;;;
cols;2;64;1024;10;2;1,49243;1,48176;1,49243;;;
cols;2;256;32;1;2;0,0129514;0,0129514;0,0129493;;;
cols;2;256;32;2;2;0,0258061;0,0258061;0,0256502;;;
cols;2;256;32;5;2;0,0634736;0,0634736;0,0634334;;;
cols;2;256;32;10;2;0,125258;0,125258;0,125251;;;
cols;2;256;64;1;2;0,027834;0,027834;0,0277525;;;
cols;2;256;64;2;2;0,0549144;0,0549144;0,054773;;;
cols;2;256;64;5;2;0,134482;0,134482;0,134302;;;
cols;2;256;64;10;2;0,267301;0,267301;0,26692;;;
cols;2;256;256;1;2;0,133832;0,133832;0,133526;;;
cols;2;256;256;2;2;0,279536;0,279536;0,276878;;;
cols;2;256;256;5;2;0,659847;0,659847;0,659787;;;
cols;2;256;256;10;2;1,32523;1,32523;1,32234;;;
cols;2;256;512;1;2;0,29854;0,297798;0,29854;;;
cols;2;256;512;2;2;0,594222;0,594222;0,593892;;;
cols;2;256;512;5;2;1,49158;1,49158;1,48381;;;
cols;2;256;512;10;2;2,89914;2,89914;2,88341;;;
cols;2;256;1024;1;2;0,595718;0,595718;0,595303;;;
cols;2;256;1024;2;2;1,1798;1,1798;1,17527;;;
cols;2;256;1024;5;2;2,95806;2,94833;2,95806;;;
cols;2;256;1024;10;2;5,85916;5,85916;5,84382;;;
cols;2;512;32;1;2;0,0233916;0,0232192;0,0233916;;;
cols;2;512;32;2;2;0,0453681;0,0453115;0,0453681;;;
cols;2;512;32;5;2;0,115062;0,115028;0,115062;;;
cols;2;512;32;10;2;0,224436;0,224436;0,22266;;;
cols;2;512;64;1;2;0,0513861;0,0508242;0,0513861;;;
cols;2;512;64;2;2;0,100403;0,100403;0,0998113;;;
cols;2;512;64;5;2;0,248943;0,248943;0,244826;;;
cols;2;512;64;10;2;0,483387;0,483387;0,481894;;;
cols;2;512;256;1;2;0,229775;0,229775;0,229755;;;
cols;2;512;256;2;2;0,469508;0,460716;0,469508;;;
cols;2;512;256;5;2;1,17088;1,17071;1,17088;;;
